Output file TC-wise radiation modified for slope and aspect (-)
Year	Day	Timestep	Subbasin	LU	TC	value
2000	154	1	69	2	4	 0.12093E+03
2000	155	1	15	1	3	 0.12430E+03
2000	155	1	15	1	2	 0.14375E+03
2000	155	1	15	1	1	 0.13526E+03
2000	155	1	15	2	6	 0.98121E+02
2000	155	1	15	2	5	 0.99982E+02
2000	155	1	15	2	4	 0.10940E+03
2000	155	1	69	1	3	 0.12903E+03
2000	155	1	69	1	2	 0.14928E+03
2000	155	1	69	1	1	 0.14047E+03
2000	155	1	69	2	6	 0.99996E+02
2000	155	1	69	2	5	 0.10195E+03
2000	155	1	69	2	4	 0.11185E+03
2000	156	1	15	1	3	 0.11669E+03
2000	156	1	15	1	2	 0.13487E+03
2000	156	1	15	1	1	 0.12689E+03
2000	156	1	15	2	6	 0.94906E+02
2000	156	1	15	2	5	 0.96630E+02
2000	156	1	15	2	4	 0.10528E+03
2000	156	1	69	1	3	 0.11229E+03
2000	156	1	69	1	2	 0.12973E+03
2000	156	1	69	1	1	 0.12205E+03
2000	156	1	69	2	6	 0.92887E+02
2000	156	1	69	2	5	 0.94530E+02
2000	156	1	69	2	4	 0.10274E+03
2000	157	1	15	1	3	 0.10435E+03
2000	157	1	15	1	2	 0.12048E+03
2000	157	1	15	1	1	 0.11334E+03
2000	157	1	15	2	6	 0.89012E+02
2000	157	1	15	2	5	 0.90515E+02
2000	157	1	15	2	4	 0.97956E+02
2000	157	1	69	1	3	 0.11484E+03
2000	157	1	69	1	2	 0.13271E+03
2000	157	1	69	1	1	 0.12486E+03
2000	157	1	69	2	6	 0.94100E+02
2000	157	1	69	2	5	 0.95794E+02
2000	157	1	69	2	4	 0.10426E+03
2000	158	1	15	1	3	 0.91336E+02
2000	158	1	15	1	2	 0.10538E+03
2000	158	1	15	1	1	 0.99119E+02
2000	158	1	15	2	6	 0.80495E+02
2000	158	1	15	2	5	 0.81785E+02
2000	158	1	15	2	4	 0.88116E+02
2000	158	1	69	1	3	 0.11084E+03
2000	158	1	69	1	2	 0.12805E+03
2000	158	1	69	1	1	 0.12046E+03
2000	158	1	69	2	6	 0.92255E+02
2000	158	1	69	2	5	 0.93880E+02
2000	158	1	69	2	4	 0.10195E+03
2000	159	1	15	1	3	 0.13146E+03
2000	159	1	15	1	2	 0.15211E+03
2000	159	1	15	1	1	 0.14313E+03
2000	159	1	15	2	6	 0.10113E+03
2000	159	1	15	2	5	 0.10315E+03
2000	159	1	15	2	4	 0.11333E+03
2000	159	1	69	1	3	 0.10639E+03
2000	159	1	69	1	2	 0.12286E+03
2000	159	1	69	1	1	 0.11558E+03
2000	159	1	69	2	6	 0.90094E+02
2000	159	1	69	2	5	 0.91640E+02
2000	159	1	69	2	4	 0.99280E+02
2000	160	1	15	1	3	 0.15186E+03
2000	160	1	15	1	2	 0.17599E+03
2000	160	1	15	1	1	 0.16563E+03
2000	160	1	15	2	6	 0.10799E+03
2000	160	1	15	2	5	 0.11045E+03
2000	160	1	15	2	4	 0.12285E+03
2000	160	1	69	1	3	 0.15448E+03
2000	160	1	69	1	2	 0.17906E+03
2000	160	1	69	1	1	 0.16853E+03
2000	160	1	69	2	6	 0.10874E+03
2000	160	1	69	2	5	 0.11124E+03
2000	160	1	69	2	4	 0.12394E+03
2000	161	1	15	1	3	 0.15735E+03
2000	161	1	15	1	2	 0.18242E+03
2000	161	1	15	1	1	 0.17170E+03
2000	161	1	15	2	6	 0.10963E+03
2000	161	1	15	2	5	 0.11221E+03
2000	161	1	15	2	4	 0.12525E+03
2000	161	1	69	1	3	 0.14922E+03
2000	161	1	69	1	2	 0.17290E+03
2000	161	1	69	1	1	 0.16273E+03
2000	161	1	69	2	6	 0.10732E+03
2000	161	1	69	2	5	 0.10973E+03
2000	161	1	69	2	4	 0.12185E+03
2000	162	1	15	1	3	 0.14209E+03
