Daily total precipitation [mm] for each subasin, ordered according to Map-IDs
Date		Subbasin-ID.
19122000	354	9.5	14.8
20122000	355	6.8	7.9
21122000	356	10.5	9.7
22122000	357	7.7	6.4
23122000	358	0.5	3.7
24122000	359	0.1	1.1
25122000	360	0.1	0.6
26122000	361	0	0
27122000	362	0.1	0.2
28122000	363	0.1	0
29122000	364	0.5	0.3
30122000	365	5.6	5.2
31122000	366	17.6	16.2
