Hourly total precipitation [mm] for each subasin, ordered according to Map-IDs
Date    Subbasin-ID.s
12022000	1028	0	0.04
12022000	1029	0	0.12
12022000	1030	0.1	0.04
12022000	1031	0.03	0.07
12022000	1032	0.03	0.04
13022000	1033	0	0.23
13022000	1034	0.01	0.04
13022000	1035	0.01	0.21
13022000	1036	0.01	0.19
13022000	1037	0	0.28
13022000	1038	0.03	0.11
13022000	1039	0	0.09
13022000	1040	0	0.04
13022000	1041	0.01	0.02
13022000	1042	0.01	0.09
13022000	1043	0	0.02
13022000	1044	0.01	0.04
13022000	1045	0.03	0.13
13022000	1046	0.02	0.02
13022000	1047	0	0.15
13022000	1048	0.01	0.1
13022000	1049	0.03	0.01
13022000	1050	0.02	0.01
13022000	1051	0.02	0.01
13022000	1052	0.01	0.11
13022000	1053	0	0.04
13022000	1054	0.02	0.25
13022000	1055	0.01	0
13022000	1056	0.01	0
14022000	1057	0	0.11
14022000	1058	0.05	0
14022000	1059	0.02	0.04
14022000	1060	0.02	0.17
14022000	1061	0.08	0.01
14022000	1062	0.05	0.08
14022000	1063	0.04	0.1
14022000	1064	0.01	0.05
14022000	1065	0.01	0.04
14022000	1066	0.01	0.04
14022000	1067	0.05	0.1
14022000	1068	0.01	0.08
14022000	1069	0.05	0.04
14022000	1070	0.01	0.08
14022000	1071	0.01	0.1
14022000	1072	0.04	0.11
14022000	1073	0.01	0
14022000	1074	0.04	0.14
14022000	1075	0.02	0.02
14022000	1076	0.02	0.09
14022000	1077	0.08	0.01
14022000	1078	0	0.02
14022000	1079	0.01	0.05
14022000	1080	0.04	0.03
15022000	1081	0.01	0.03
15022000	1082	0	0.09
15022000	1083	0.02	0.03
15022000	1084	0.01	0.13
15022000	1085	0	0.09
15022000	1086	0.03	0.01
15022000	1087	0	0.01
15022000	1088	0	0
15022000	1089	0	0.04
15022000	1090	0.01	0.01
15022000	1091	0	0.07
15022000	1092	0	0.03
15022000	1093	0.01	0.12
15022000	1094	0	0.03
15022000	1095	0	0.01
15022000	1096	0.01	0
15022000	1097	0.01	0.03
15022000	1098	0	0.02
15022000	1099	0.01	0
15022000	1100	0	0.05
15022000	1101	0.01	0.04
15022000	1102	0.01	0.04
15022000	1103	0.03	0.02
15022000	1104	0.01	0.01
16022000	1105	0.01	0.11
16022000	1106	0.01	0
16022000	1107	0.03	0.01
16022000	1108	0.02	0
16022000	1109	0	0.05
16022000	1110	0.02	0.02
16022000	1111	0.02	0.02
16022000	1112	0.01	0.03
16022000	1113	0.02	0.02
16022000	1114	0.01	0.02
16022000	1115	0.01	0.06
16022000	1116	0.01	0.04
16022000	1117	0.02	0
16022000	1118	0.02	0.03
16022000	1119	0	0.01
16022000	1120	0.03	0.01
16022000	1121	0.01	0
16022000	1122	0.03	0
16022000	1123	0.02	0.01
16022000	1124	0.05	0.02
16022000	1125	0.04	0.04
16022000	1126	0	0.06
16022000	1127	0.02	0.01
16022000	1128	0	0.02
17022000	1129	0.03	0.45
17022000	1130	0.01	0.13
17022000	1131	0.75	0.04
17022000	1132	0.03	0.18
17022000	1133	0.33	0.13
17022000	1134	0.11	0.01
17022000	1135	0.57	0.03
17022000	1136	0.1	0.68
17022000	1137	0.49	0.02
17022000	1138	0.11	0.06
17022000	1139	0.14	0.1
17022000	1140	0.09	0.1
17022000	1141	0.17	0.12
17022000	1142	0	0.21
