total sediment production [t] for all sub-basins (MAP-IDs) and particle classes{ 3}
Year	Day 	15:1	15:2	15:3	69:1	69:2	69:3
2000	308	    0.001	    0.001	    0.004	    0.003	    0.002	    0.007
2000	309	    0.002	    0.001	    0.005	   51.912	   41.166	  134.999
2000	310	    0.001	    0.001	    0.002	    0.002	    0.001	    0.004
2000	311	    0.002	    0.002	    0.006	    0.004	    0.003	    0.009
2000	312	    0.001	    0.001	    0.002	    0.001	    0.000	    0.001
2000	313	    0.000	    0.000	    0.001	    0.000	    0.000	    0.000
2000	314	    0.001	    0.000	    0.002	    0.001	    0.001	    0.002
2000	315	  502.076	  398.148	 1305.661	 1178.577	  934.615	 3064.917
2000	316	    0.001	    0.001	    0.002	    0.004	    0.003	    0.011
2000	317	    0.001	    0.000	    0.002	    0.003	    0.002	    0.007
2000	318	    0.001	    0.001	    0.003	    0.002	    0.001	    0.004
2000	319	    0.001	    0.001	    0.003	    0.003	    0.002	    0.007
2000	320	    0.001	    0.000	    0.001	    0.002	    0.002	    0.005
2000	321	    0.000	    0.000	    0.001	    0.003	    0.002	    0.007
2000	322	    0.000	    0.000	    0.001	    0.002	    0.001	    0.004
2000	323	    0.001	    0.001	    0.004	    0.002	    0.001	    0.004
2000	324	    0.001	    0.000	    0.002	    0.001	    0.001	    0.003
2000	325	    0.001	    0.001	    0.002	    0.002	    0.001	    0.005
2000	326	    0.000	    0.000	    0.001	    0.001	    0.001	    0.003
2000	327	    0.000	    0.000	    0.001	    0.000	    0.000	    0.000
2000	328	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	329	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	330	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	331	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	332	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	333	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	334	    0.000	    0.000	    0.001	    0.001	    0.001	    0.002
2000	335	    0.002	    0.001	    0.004	    0.004	    0.003	    0.009
2001	1	    0.001	    0.001	    0.003	    0.003	    0.002	    0.008
2001	2	  180.822	  143.392	  470.232	  923.972	  732.712	 2402.809
2001	3	    0.001	    0.001	    0.002	    0.002	    0.001	    0.005
2001	4	    0.001	    0.001	    0.002	    0.002	    0.002	    0.006
2001	5	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	6	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	7	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	8	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	9	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	10	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	11	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	12	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	13	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	14	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	15	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	16	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2001	17	    0.000	    0.000	    0.001	    0.000	    0.000	    0.000
2001	18	    0.000	    0.000	    0.001	    0.001	    0.001	    0.002
2001	19	    0.000	    0.000	    0.001	    0.001	    0.000	    0.002
2001	20	   25.786	   20.448	   67.057	 1574.175	 1248.324	 4093.677
2001	21	   20.600	   16.336	   53.571	  136.540	  108.276	  355.075
2001	22	  143.202	  113.559	  372.399	  105.351	   83.544	  273.968
2001	23	    0.001	    0.001	    0.002	   35.349	   28.032	   91.926
2001	24	    0.001	    0.001	    0.003	    0.002	    0.002	    0.005
2001	25	    1.340	    1.062	    3.484	    0.003	    0.002	    0.007
2001	26	    0.349	    0.277	    0.907	    0.001	    0.000	    0.002
2001	27	    1.271	    1.008	    3.306	    0.001	    0.001	    0.002
2001	28	    0.772	    0.612	    2.007	    0.000	    0.000	    0.001
2001	29	    1.863	    1.477	    4.844	    0.001	    0.001	    0.003
2001	30	   22.924	   18.179	   59.615	    0.000	    0.000	    0.001
2001	31	    8.660	    6.868	   22.522	    0.000	    0.000	    0.000
